"sample_id","condition","patient_id","cells_before","median_genes","median_umi","median_mt_pct","cells_after","cells_removed","retention_pct"
"LGG-03","LGG",3,8796,2180,6095.5,7.44031887232731,7921,875,90.1
"LGG-04-1","LGG",4,7009,2451,6366,12.1725731895223,5357,1652,76.4
"LGG-04-2","LGG",4,3052,2982,9874.5,11.3708801955424,2220,832,72.7
"LGG-04-3","LGG",4,7129,3278,8783,13.9803907737885,4738,2391,66.5
"ndGBM-01-A","ndGBM",1,5016,2359.5,5998,3.96872094257228,4757,259,94.8
"ndGBM-01-C","ndGBM",1,10342,2245,5343.5,4.01402826971009,10046,296,97.1
"ndGBM-01-D","ndGBM",1,9338,1781.5,3960.5,4.28914810322476,9116,222,97.6
"ndGBM-01-F","ndGBM",1,5773,1156,2797,4.61997019374069,5623,150,97.4
"ndGBM-02-1","ndGBM",2,9027,1662,4365,4.12815773259396,8386,641,92.9
"ndGBM-02-2","ndGBM",2,6854,1370,3470,3.28311679384065,6595,259,96.2
"ndGBM-02-4","ndGBM",2,6514,1478,3920,3.53443172737056,6295,219,96.6
"ndGBM-02-5","ndGBM",2,8748,1152,2645,4.21171894472649,8296,452,94.8
"ndGBM-03-1","ndGBM",3,4001,3513,11043,4.32243938042332,3511,490,87.8
"ndGBM-03-2","ndGBM",3,3075,2049,5075,5.56133056133056,2677,398,87.1
"ndGBM-03-3","ndGBM",3,3549,3290,10636,2.47383444338725,3128,421,88.1
"ndGBM-04","ndGBM",4,8593,3167,10246,6.4314789687924,7774,819,90.5
"ndGBM-05","ndGBM",5,8267,2876,8185,6.54747809614018,7166,1101,86.7
"ndGBM-06","ndGBM",6,3884,2127.5,5555,3.75235498764925,3468,416,89.3
"ndGBM-07","ndGBM",7,10304,2293,6339.5,5.23852831112971,9524,780,92.4
"ndGBM-08","ndGBM",8,6137,3235,11471,4.64929645283826,5704,433,92.9
"ndGBM-09","ndGBM",9,5778,2571.5,7787,5.02032821338172,5426,352,93.9
"ndGBM-10","ndGBM",10,11190,770,1623,7.40740740740741,11189,1,100
"ndGBM-11-A","ndGBM",11,655,738,1489,0.829875518672199,560,95,85.5
"ndGBM-11-B","ndGBM",11,498,918.5,1965.5,3.41303112823125,377,121,75.7
"ndGBM-11-C","ndGBM",11,2902,1132,2724.5,5.22478346564301,2839,63,97.8
"ndGBM-11-D","ndGBM",11,1521,845,1728,3.99666944213156,1328,193,87.3
"rGBM-01-A","rGBM",1,4591,2126,7343,1.82592818015825,4503,88,98.1
"rGBM-01-B","rGBM",1,11716,1682,4971,3.02454027548759,11536,180,98.5
"rGBM-01-C","rGBM",1,5965,1734,5049,2.31417807809604,5905,60,99
"rGBM-01-D","rGBM",1,6434,2076,6378,3.51917262393115,6171,263,95.9
"rGBM-02-2","rGBM",2,2653,2055,6549,6.4993564993565,2286,367,86.2
"rGBM-02-3","rGBM",2,10947,1719,4828,7.55630903366433,9944,1003,90.8
"rGBM-02-4","rGBM",2,1110,1717.5,4925.5,4.99722830476437,1032,78,93
"rGBM-02-5","rGBM",2,11961,1794,5293,7.48178274868666,10866,1095,90.8
"rGBM-03-1","rGBM",3,4304,3030.5,7640.5,6.27071483691985,3781,523,87.8
"rGBM-03-2","rGBM",3,1983,3287,9215,7.13266761768902,1639,344,82.7
"rGBM-03-3","rGBM",3,4744,2916,7899,5.19985016936204,4362,382,91.9
"rGBM-04-1","rGBM",4,6857,3905,11422,3.07363356942403,6125,732,89.3
"rGBM-04-2","rGBM",4,7081,3594,10031,4.78370336461433,6259,822,88.4
"rGBM-04-3","rGBM",4,8236,3481,9588.5,2.74457611595366,7648,588,92.9
"rGBM-04-4","rGBM",4,7296,3647.5,11151,3.73258742357605,6458,838,88.5
"rGBM-05-1","rGBM",5,5258,3055,8318,3.57889223528509,4826,432,91.8
"rGBM-05-2","rGBM",5,3454,3812.5,12843.5,6.16808565327188,2890,564,83.7
"rGBM-05-3","rGBM",5,2130,3123,9070,5.57482555551443,1855,275,87.1
